slug,name,re,cl_0,cl_alpha_2d,cl_max,alpha_stall,cd_0,cm_ac,cd_min,alpha_minD_deg,k_drag,thickness_pct,camber_pct
hq300gd2-il,HORSTMANN AND QUAST HQ-300 GD(MOD 2) AIRFOIL,500000,0.5577,6.534,1.5864,12.25,0.01067,-0.1093,0.008600,-2.7500,0.000075,16.57,3.75
hq3010-il,HQ 3.0/10 AIRFOIL,500000,0.4064,5.900,1.3591,12.50,0.00667,-0.0891,0.006540,2.7500,0.000263,9.98,2.99
hq3011-il,HQ 3.0/11 AIRFOIL,500000,0.4025,5.918,1.3897,13.00,0.00687,-0.0877,0.006730,2.5000,0.000217,10.98,2.99
hq3012-il,HQ 3.0/12 AIRFOIL,500000,0.4063,5.924,1.4373,14.25,0.00736,-0.0887,0.007240,-1.7500,0.000081,11.98,2.99
hq3013-il,HQ 3.0/13 AIRFOIL,500000,0.4071,5.910,1.4621,14.25,0.00766,-0.0889,0.007580,-2.0000,0.000072,12.99,3.00
hq3014-il,HQ 3.0/14 AIRFOIL,500000,0.4050,5.876,1.4701,15.25,0.00792,-0.0879,0.007760,-2.0000,0.000070,13.99,2.99
hq3015-il,HQ 3.0/15 AIRFOIL,500000,0.4033,5.854,1.4783,16.75,0.00818,-0.0872,0.008010,-2.5000,0.000062,14.98,2.99
hq308-il,HQ 3.0/8 AIRFOIL,500000,0.4065,5.765,1.2674,10.25,0.00590,-0.0893,0.005540,1.0000,0.000370,7.98,2.99
hq309-il,HQ 3.0/9 AIRFOIL,500000,0.4075,5.850,1.3040,11.25,0.00632,-0.0897,0.005970,1.7500,0.000323,8.98,2.99
hq3510-il,HQ 3.5/10 AIRFOIL,500000,0.4727,5.849,1.3660,11.25,0.00673,-0.1038,0.006570,2.5000,0.000289,9.96,3.50
hq3512-il,HQ 3.5/12 AIRFOIL,500000,0.4722,5.839,1.4401,14.00,0.00741,-0.1029,0.007240,-1.7500,0.000087,11.96,3.50
hq3513-il,HQ 3.5/13 AIRFOIL,500000,0.4705,5.779,1.4724,13.00,0.00772,-0.1022,0.007500,-1.7500,0.000077,13.00,3.50
hq3514-il,HQ 3.5/14 AIRFOIL,500000,0.4678,5.792,1.4804,14.50,0.00798,-0.1020,0.007800,-1.7500,0.000078,14.00,3.50
hq3518-il,HQ 3.5/18 AIRFOIL,500000,0.4579,5.513,1.5368,18.75,0.00906,-0.0993,0.008910,-2.2500,0.000073,18.00,3.50
hq358-il,HQ 3.5/8 AIRFOIL,500000,0.4744,5.659,1.3108,9.75,0.00602,-0.1041,0.005610,0.7500,0.000358,7.97,3.50
hq359-il,HQ 3.5/9 AIRFOIL,500000,0.4725,5.783,1.3375,11.50,0.00640,-0.1043,0.006070,1.7500,0.000347,8.97,3.50
hs1404-il,HAM-STD HS1-404 AIRFOIL,500000,0.3796,5.608,1.0223,7.50,0.00503,-0.0914,0.004990,-0.2500,0.000849,4.02,3.02
hs1430-il,HAM-STD HS1-430 AIRFOIL,500000,0.1276,4.795,1.5242,19.25,0.02080,-0.0241,0.017140,-4.0000,0.000111,30.00,2.94
hs1606-il,HAM-STD HS1-606 AIRFOIL,500000,0.5573,5.745,1.4832,11.00,0.00806,-0.1263,0.006340,1.2500,0.000313,6.01,4.24
hs1620-il,HAM-STD HS1-620 AIRFOIL,500000,0.5514,4.914,1.7207,19.25,0.01135,-0.1279,0.010180,1.2500,0.000204,20.02,4.10
hs1708-il,HAM-STD HS1-708 AIRFOIL,500000,0.6492,5.837,1.6262,14.75,0.00888,-0.1450,0.007120,1.5000,0.000261,7.92,4.87
hs1712-il,HAM-STD HS1-712 AIRFOIL,500000,0.7089,5.710,1.7873,16.00,0.00832,-0.1690,0.007870,0.5000,0.000181,11.98,4.78
hsnlf213-il,HSNLF(1)-0213 AIRFOIL,500000,0.0997,6.207,1.2795,14.50,0.01147,-0.0064,0.008820,4.5000,0.000203,13.25,1.37
ht05-il,HT05,500000,-0.0032,6.269,0.7420,7.25,0.00490,-0.0001,0.004860,-0.2500,0.000673,4.81,0.00
ht08-il,HT08,500000,-0.0004,6.234,0.7591,7.25,0.00443,0.0000,0.004430,-0.2500,0.000751,5.00,0.07
ht12-il,HT12,500000,-0.0004,6.260,0.8016,13.00,0.00428,0.0000,0.004280,-0.2500,0.000401,5.02,0.00
ht22-il,HT22,500000,0.0810,6.249,1.1438,11.00,0.00433,-0.0111,0.004290,-0.5000,0.000267,5.08,1.07
ht23-il,HT23,500000,0.0760,6.319,1.2212,11.75,0.00538,-0.0064,0.004510,-0.7500,0.000198,6.51,1.08
isa571-il,I.S.A. 571,500000,0.4377,6.095,1.3727,11.25,0.00822,-0.0792,0.006550,0.2500,0.000252,7.37,4.33
isa960-il,I.S.A. 960,500000,0.5289,5.881,1.4615,11.50,0.01206,-0.0862,0.010750,0.2500,0.000185,9.46,5.71
isa961-il,I.S.A. 961,500000,0.5408,5.812,1.4577,11.50,0.00880,-0.0859,0.007530,0.2500,0.000197,9.27,5.67
isa962-il,I.S.A. 962,500000,0.5900,5.914,1.6765,12.75,0.00912,-0.0917,0.007270,0.7500,0.000166,9.58,5.93
j5012-il,J5012   12%,500000,0.0045,6.691,1.0879,13.50,0.00614,0.0000,0.006140,0.0000,0.000151,12.00,0.00
jn153-il,JN-153 AIRFOIL,500000,0.8398,6.332,2.1079,13.00,0.02057,-0.1508,0.019000,1.7500,0.000066,17.57,8.35
