slug,name,re,cl_0,cl_alpha_2d,cl_max,alpha_stall,cd_0,cm_ac,cd_min,alpha_minD_deg,k_drag,thickness_pct,camber_pct
fx601001-il,FX 60-100 (126) AIRFOIL,1000000,0.4833,6.135,1.4944,11.25,0.00625,-0.1150,0.005420,-2.5000,0.000115,10.12,3.58
fx60100sm-il,FX60-100 10.0% smoothed,1000000,0.5051,6.122,1.6608,14.25,0.00560,-0.1186,0.005470,-1.2500,0.000101,9.98,3.55
fx60126-il,WORTMANN FX 60-126 AIRFOIL,1000000,0.5061,6.264,1.7396,14.75,0.00653,-0.1163,0.006080,-2.5000,0.000069,12.59,3.56
fx601261-il,WORTMANN FX 60-126/1 AIRFOIL,1000000,0.5724,6.100,1.6261,13.50,0.00665,-0.1315,0.006370,-1.5000,0.000099,12.60,3.96
fx60157-il,FX 60-157 AIRFOIL,1000000,0.5101,5.200,1.6080,18.00,0.00593,-0.1289,0.005500,-1.7500,0.000119,15.67,2.72
fx60160-il,FX 60-160 AIRFOIL,1000000,0.4532,5.375,1.4637,17.25,0.00653,-0.1110,0.006310,-1.7500,0.000104,15.60,3.08
fx60177-il,FX 60-177 AIRFOIL,1000000,0.5600,5.479,1.5558,15.25,0.00627,-0.1384,0.005850,-3.0000,0.000093,17.72,2.72
fx61140-il,FX 61-140 AIRFOIL,1000000,0.5086,6.384,1.5126,11.50,0.00715,-0.1172,0.006140,-3.2500,0.000090,13.98,2.46
fx61147-il,FX 61-147 AIRFOIL,1000000,0.5710,6.261,1.5506,13.25,0.00734,-0.1278,0.006320,-3.0000,0.000078,14.77,3.18
fx61163-il,FX 61-163 AIRFOIL,1000000,0.4979,6.546,1.5244,13.25,0.00744,-0.1097,0.006810,-3.2500,0.000078,16.35,2.56
fx61168-il,FX 61-168 AIRFOIL,1000000,0.5489,6.413,1.4960,15.00,0.00758,-0.1217,0.006870,-3.2500,0.000074,16.81,2.99
fx61184-il,FX 61-184 AIRFOIL,1000000,0.5458,6.380,1.5711,17.50,0.00736,-0.1245,0.006940,-4.0000,0.000060,18.37,3.09
fx62k131-il,WORTMANN FX 62-K-131 AIRFOIL,1000000,0.7265,5.721,1.4850,10.00,0.00618,-0.1792,0.005850,-2.5000,0.000163,13.09,3.89
fx62k153-il,FX 62-K-153/20 AIRFOIL,1000000,0.7437,5.702,1.5967,14.75,0.00693,-0.1813,0.006460,-3.0000,0.000117,15.27,4.08
fx63100-il,FX 63-100 AIRFOIL,1000000,0.6486,6.062,1.8151,14.75,0.00576,-0.1530,0.005660,-0.7500,0.000126,9.93,4.34
fx63110-il,FX 63-110 AIRFOIL,1000000,0.6567,6.133,1.8287,15.25,0.00601,-0.1535,0.005950,-0.5000,0.000126,11.00,4.34
fx63120-il,FX 63-120 AIRFOIL,1000000,0.7857,6.160,1.8876,15.75,0.00656,-0.1816,0.006400,-2.0000,0.000095,12.01,5.24
fx63137-il,WORTMANN FX 63-137 AIRFOIL,1000000,0.9036,5.870,1.8523,12.50,0.00736,-0.2090,0.007300,-0.2500,0.000174,13.71,5.97
fx63137sm-il,FX 63-137 13.7% smoothed,1000000,0.9218,6.136,1.9835,17.50,0.00715,-0.2118,0.006820,-2.0000,0.000103,13.67,5.95
fx63143-il,FX 63-143 AIRFOIL,1000000,0.3138,5.977,1.3815,17.25,0.01132,-0.0513,0.010050,-2.7500,0.000049,14.32,3.09
fx63145-il,FX 63-145 AIRFOIL,1000000,0.5923,6.271,1.5856,12.00,0.01199,-0.1232,0.011730,-1.2500,0.000091,14.47,4.04
fx63147-il,FX 63-147 AIRFOIL,1000000,0.5074,6.118,1.5515,14.00,0.00675,-0.1169,0.006590,-0.5000,0.000143,14.75,3.13
fx63158-il,FX 63-158 AIRFOIL,1000000,0.5947,6.277,1.5889,12.50,0.01180,-0.1288,0.011020,-3.7500,0.000060,15.81,3.77
fx6617a2-il,FX 66-17AII-182 AIRFOIL,1000000,0.4244,6.282,1.3317,9.00,0.00808,-0.0836,0.007660,-2.2500,0.000082,18.20,3.80
fx6617ai-il,WORTMANN FX 66-17AII-182 AIRFOIL (AS TESTED AT NASA),1000000,0.4271,6.630,1.4621,9.25,0.00822,-0.0879,0.007840,-2.7500,0.000082,18.84,3.66
fx66182-il,FX 66-182 AIRFOIL,1000000,0.4504,6.431,1.3736,8.75,0.00815,-0.0903,0.007620,-2.5000,0.000084,18.20,3.80
fx66196v-il,FX 66-S-196 V1 AIRFOIL,1000000,0.4953,6.461,1.4683,9.50,0.00851,-0.1067,0.007870,-4.0000,0.000055,19.57,4.01
fx66a175-il,WORTMANN FX 66-17A-175 AIRFOIL,1000000,0.4875,6.361,1.3349,7.75,0.00861,-0.0974,0.007950,-3.2500,0.000112,17.52,4.16
fx66h60-il,FX 66-H-60,1000000,0.0222,6.221,0.9143,9.50,0.00530,0.0255,0.005300,0.0000,0.000453,6.02,1.68
fx66h80-il,FX 66-H-80,1000000,0.0901,6.536,1.0881,10.50,0.00678,0.0171,0.005360,0.2500,0.000227,8.00,2.47
fx66s161-il,FX 66-S-161 AIRFOIL,1000000,0.4618,6.435,1.4082,9.00,0.00780,-0.0946,0.007480,-2.5000,0.000071,16.12,3.91
fx66s171-il,FX 66-S-171 AIRFOIL,1000000,0.4583,6.453,1.4533,9.50,0.00795,-0.0937,0.007670,-3.2500,0.000051,17.11,3.88
fx66s196-il,FX 66-S-196 AIRFOIL,1000000,0.4623,6.441,1.4022,9.25,0.00845,-0.0991,0.007610,-4.0000,0.000056,19.63,3.78
fx67k150-il,FX 67-K-150/17 AIRFOIL,1000000,0.5170,5.492,1.2124,13.00,0.00642,-0.1045,0.006250,-1.0000,0.000208,14.98,4.83
fx67k170-il,FX 67-K-170/17 AIRFOIL,1000000,0.5441,6.030,1.3417,17.75,0.00685,-0.1071,0.006560,-1.0000,0.000169,17.01,5.07
fx68h120-il,FX 68-H-120,1000000,0.1834,6.778,1.1777,15.00,0.00624,-0.0168,0.005790,0.7500,0.000182,11.81,2.31
fx69274-il,WORTMANN FX 69-274,1000000,0.2811,5.999,1.5685,17.50,0.00888,-0.0492,0.008840,-1.5000,0.000066,27.41,3.19
fx69h083-il,BELL/WORTMANN FX 69-H-083 AIRFOIL,1000000,0.1849,6.241,1.1233,9.75,0.00447,-0.0188,0.004420,-0.2500,0.000301,8.40,2.44
fx69h098-il,BELL/WORTMANN FX 69-H-098 AIRFOIL,1000000,0.1702,6.514,1.3527,14.00,0.00505,-0.0150,0.004730,-0.2500,0.000114,9.89,1.74
fx69pr281-il,FX 69-PR-281,1000000,0.5875,5.063,1.6233,18.50,0.01197,-0.1282,0.011000,-3.5000,0.000095,28.13,5.61
fx71089a-il,WORTMANN FX 71-089A AIRFOIL,1000000,0.0031,6.485,1.3942,16.75,0.00644,0.0000,0.006440,0.0000,0.000136,8.94,0.00
fx71120-il,WORTMANN FX 71-120 AIRFOIL,1000000,0.0091,6.280,1.4841,19.25,0.00773,0.0000,0.007730,0.0000,0.000095,11.99,0.00
fx711520-il,FX 71-L-150/20 AIRFOIL,1000000,-0.0025,6.269,1.1880,16.00,0.00648,0.0000,0.006400,-0.7500,0.000117,15.00,0.00
fx711525-il,FX 71-L-150/25 AIRFOIL,1000000,-0.0031,6.207,1.1748,15.50,0.00614,0.0000,0.006140,0.0000,0.000132,15.00,0.00
fx711530-il,FX 71-L-150/30 AIRFOIL,1000000,-0.0036,6.246,1.1697,16.25,0.00626,0.0000,0.006260,0.0000,0.000128,15.00,0.00
fx71l150-il,FX 71-L-150/30 AIRFOIL,1000000,-0.0036,6.246,1.1697,16.25,0.00626,0.0000,0.006260,0.0000,0.000128,15.00,0.00
fx72150a-il,WORTMANN FX 72-MS-150A AIRFOIL,1000000,0.9943,6.375,1.8393,8.25,0.00926,-0.2219,0.008590,0.5000,0.000293,15.01,8.34
fx72150b-il,WORTMANN FX 72-MS-150B AIRFOIL,1000000,1.1443,6.364,2.1054,10.75,0.00979,-0.2558,0.009240,0.5000,0.000121,15.01,9.72
fx72ls160-il,FX 72-LS-160,1000000,0.9088,6.324,1.8782,10.75,0.00921,-0.1881,0.008010,1.0000,0.000106,16.01,8.24
fx73170-il,WORTMANN FX 73-170,1000000,0.5867,5.806,1.5676,18.75,0.00798,-0.1368,0.007080,-2.7500,0.000099,17.09,4.37
fx73170a-il,WORTMANN FX 73-170 A,1000000,0.5769,5.725,1.5339,9.50,0.00719,-0.1145,0.006860,-1.0000,0.000110,17.11,5.64
fx73cl1152-il,FX 73-CL1-152,1000000,0.6095,6.373,2.0512,16.00,0.00968,-0.1113,0.008670,3.5000,0.000073,15.22,6.09
fx73cl2152-il,FX 73-CL2-152,1000000,0.9371,6.358,2.2120,14.25,0.01010,-0.2107,0.009840,-2.0000,0.000039,15.22,6.63
fx73cl3152-il,FX 73-CL3-152,1000000,0.8518,6.089,2.2044,16.25,0.01018,-0.1757,0.010170,0.2500,0.000059,15.22,8.01
fx73k170-il,FX 73-K-170/22,1000000,0.5859,5.657,1.5295,17.00,0.00700,-0.1356,0.006700,-2.5000,0.000097,17.08,4.59
fx74080-il,WORTMANN FX 74-080,1000000,0.5447,4.971,1.2161,9.25,0.00523,-0.1274,0.005010,2.7500,0.000771,8.15,4.31
fx74130wp1-il,FX 74-130 WP1,1000000,0.5271,5.356,1.4457,15.50,0.00715,-0.1234,0.006360,-1.7500,0.000122,13.01,3.82
fx74130wp2-il,74-130 WP2,1000000,0.4802,5.671,1.3471,14.75,0.00735,-0.1049,0.006690,5.0000,0.000187,12.99,3.94
fx74130wp2mod-il,74-130 WP2 MOD,1000000,0.4764,5.671,1.3412,15.00,0.00625,-0.1031,0.005840,-1.2500,0.000136,12.91,3.88
fx74cl5140-il,FX74_CL5_140,1000000,1.0602,7.068,2.0481,8.75,0.01179,-0.2239,0.010390,2.2500,0.000449,14.05,9.94
fx74cl6140-il,FX 74-CL6-140,1000000,0.7903,6.534,2.0708,12.50,0.00978,-0.1487,0.008670,0.7500,0.000047,14.05,7.14
fx74modsm-il,FX 74-Cl5-140 MOD  (smoothed),1000000,1.1701,6.824,2.2117,11.00,0.01104,-0.2570,0.010210,2.0000,0.000188,13.08,9.72
fx75141-il,WORTMANN FX 75-141,1000000,0.5178,5.662,1.5591,17.25,0.00622,-0.1264,0.006220,0.0000,0.000130,14.13,3.39
fx75193-il,WORTMANN FX 75-193,1000000,0.5579,5.344,1.2771,18.00,0.00888,-0.1366,0.007940,-3.0000,0.000109,19.27,3.66
fx75vg166-il,FX 75-VG-166/22,1000000,0.2909,5.749,1.2660,18.75,0.01023,-0.0570,0.007750,-2.7500,0.000081,16.73,2.43
fx76100-il,WORTMANN FX 76-100,1000000,0.0073,6.568,1.2944,14.00,0.00475,0.0000,0.004750,0.0000,0.000115,10.07,0.00
fx76120-il,WORTMANN FX 76-120,1000000,0.0082,6.248,1.3649,15.75,0.00556,0.0000,0.005560,-0.2500,0.000088,12.07,0.00
fx76mp120-il,FX 76-MP-120,1000000,0.9433,5.573,1.7527,12.50,0.00750,-0.2143,0.006450,2.2500,0.000232,12.11,7.57
fx76mp140-il,FX 76-MP-140,1000000,0.8796,5.633,1.7961,14.50,0.00759,-0.1976,0.006690,1.2500,0.000196,14.11,7.12
fx76mp160-il,FX 76-MP-160,1000000,0.7847,4.839,1.7800,17.00,0.00765,-0.1799,0.007020,2.2500,0.000228,16.15,6.06
fx77080-il,WORTMANN FX 77-080,1000000,-0.0013,6.762,1.1780,12.75,0.00417,0.0001,0.004170,0.0000,0.000154,8.05,0.00
fx77w121-il,FX 77-W-121,1000000,0.3231,7.152,1.3569,9.50,0.00902,-0.0192,0.007120,0.7500,0.000142,12.10,4.62
fx77w153-il,WORTMANN FX 77-W-153 AIRFOIL,1000000,0.2800,7.074,1.5892,12.25,0.01029,-0.0172,0.007850,2.2500,0.000073,15.25,4.48
fx77w258-il,WORTMANN FX 77-W-258 AIRFOIL,1000000,0.4420,7.219,1.7787,11.75,0.01064,-0.0604,0.010640,-0.2500,0.000047,26.12,4.34
fx77w270-il,FX 77-W-270,1000000,0.4814,7.468,1.9199,12.00,0.01314,-0.0694,0.012850,-0.5000,0.000046,27.12,4.34
fx77w270s-il,FX 77-W-270S,1000000,0.3050,6.996,1.8266,15.00,0.01242,-0.0305,0.010220,-2.7500,0.000034,27.11,4.32
fx77w343-il,WORTMANN FX 77-W-343 AIRFOIL,1000000,0.5212,7.582,1.8475,12.50,0.01401,-0.0689,0.013740,-1.0000,0.000073,34.38,4.70
fx78k140-il,FX 78-K-140/20,1000000,0.3621,6.322,1.1916,13.25,0.00623,-0.0487,0.006210,0.2500,0.000253,14.09,4.38
fx78k140a20-il,FX 78-K-140 A/20,1000000,0.4127,5.329,1.2605,13.75,0.00701,-0.0764,0.006570,-1.2500,0.000178,14.09,4.38
fx78k150-il,FX 78-K-150/20,1000000,0.3823,5.369,1.3113,16.00,0.00704,-0.0735,0.006760,-1.0000,0.000206,15.11,4.33
fx78k161-il,FX 78-K-161,1000000,0.1977,5.491,1.1792,17.25,0.00675,-0.0208,0.006180,-1.2500,0.000151,16.16,2.84
fx78pk188-il,FX 78-PK-188/20,1000000,0.2813,6.089,1.2415,17.50,0.00820,-0.0627,0.007160,-3.2500,0.000077,18.81,2.37
fx79k144-il,WORTMANN FX 79-K-144/17 AIRFOIL,1000000,0.3136,6.084,1.3683,15.75,0.00718,-0.0683,0.006540,3.0000,0.000280,14.39,2.81
fx79l100-il,FX 79-L-100,1000000,0.0066,6.331,1.2481,13.00,0.00559,0.0000,0.005590,0.0000,0.000126,10.07,0.00
fx79l120-il,FX 79-L-120,1000000,-0.0005,6.264,1.3487,15.75,0.00605,0.0000,0.006050,-0.5000,0.000087,12.07,0.00
fx79w151a-il,FX 79-W-151 A,1000000,0.3291,7.059,1.3165,14.25,0.00666,-0.0473,0.006070,1.0000,0.000155,15.16,3.78
fx79w660a-il,FX 79-W-660A,1000000,-0.0229,2.623,0.8826,16.75,0.05384,0.0258,0.052920,-2.5000,0.000376,66.39,2.32
fx80080-il,WORTMANN FX 80-080,1000000,0.3458,5.512,1.2545,11.00,0.00477,-0.0855,0.004730,-1.2500,0.000173,8.06,2.21
fx83w108-il,FX 83-W-108,1000000,0.5381,5.497,1.6185,17.00,0.00618,-0.1339,0.005510,2.7500,0.000222,10.87,4.24
fx83w160-il,FX 83-W-160,1000000,0.5396,4.906,1.5904,18.75,0.00659,-0.1467,0.006420,-1.7500,0.000092,16.05,3.89
fx83w227-il,FX 83-W-227,1000000,0.2562,4.759,1.4275,15.75,0.00771,-0.0522,0.007640,-0.7500,0.000071,22.64,3.44
fx84w097-il,FX 84-W-097,1000000,0.2578,6.269,1.3651,13.50,0.00496,-0.0477,0.004880,0.7500,0.000165,9.74,2.82
fx84w127-il,FX 84-W-127,1000000,0.3908,6.276,1.4707,16.25,0.00564,-0.0803,0.005630,0.5000,0.000136,12.75,3.74
fx84w140-il,FX 84-W-140,1000000,0.4577,6.238,1.4926,17.50,0.00596,-0.0962,0.005950,0.2500,0.000128,14.08,4.21
fx84w150-il,FX 84-W-150,1000000,0.4666,6.214,1.4870,18.00,0.00613,-0.0960,0.006130,0.0000,0.000113,14.99,4.28
fx84w175-il,FX 84-W-175,1000000,0.4890,6.050,1.4811,19.25,0.00664,-0.1037,0.006640,0.0000,0.000085,17.61,4.37
fx84w218-il,FX 84-W-218,1000000,0.3358,5.820,1.4048,18.75,0.00742,-0.0689,0.007420,0.0000,0.000083,21.96,3.23
fxl142k-il,FX LIII-142 K 25 AIRFOIL,1000000,-0.0024,6.234,1.3379,15.50,0.00675,0.0000,0.006740,-1.0000,0.000065,14.20,0.00
fxlv152-il,WORTMANN FX L V-152 AIRFOIL,1000000,0.0065,6.422,1.3099,15.00,0.00668,-0.0021,0.006620,-0.5000,0.000093,15.28,0.00
fxm2-il,WORTMANN FX M2 AIRFOIL,1000000,0.5527,6.321,1.9767,15.25,0.01179,-0.0990,0.010180,4.0000,0.000230,8.40,4.78
fxs02196-il,FX S 02-196 AIRFOIL,1000000,0.4493,5.297,1.3409,16.25,0.01312,-0.0965,0.010500,-3.0000,0.000128,19.59,3.74
fxs03182-il,FX S 03-182 AIRFOIL,1000000,0.4524,4.971,1.3349,15.50,0.00760,-0.1129,0.006990,-2.5000,0.000138,18.21,2.85
fxs21158-il,FX S 02/1-158 AIRFOIL,1000000,0.4501,6.117,1.3219,10.50,0.00794,-0.0925,0.007790,-1.2500,0.000146,15.78,3.50
geminism-il,GEMINI (smoothed),1000000,0.2211,6.602,1.3052,15.00,0.00622,-0.0370,0.006200,0.7500,0.000131,15.38,2.20
giiia-il,GIII BL0 AIRFOIL,1000000,-0.0035,6.314,1.1402,13.25,0.00490,0.0179,0.004640,-0.7500,0.000120,11.01,0.75
giiib-il,GIII BL45 AIRFOIL,1000000,0.0161,6.381,1.1577,13.25,0.00464,0.0103,0.004590,-0.7500,0.000126,10.44,0.81
giiic-il,GIII BL75 AIRFOIL,1000000,0.0301,6.371,1.1312,11.50,0.00460,0.0062,0.004600,-0.2500,0.000154,9.93,0.92
giiid-il,GIII BL86 AIRFOIL (modified line 31),1000000,0.0385,6.357,1.1954,13.25,0.00462,0.0039,0.004610,0.2500,0.000158,9.71,0.97
giiie-il,GIII BL126 AIRFOIL,1000000,0.0820,6.184,1.0819,10.50,0.00466,-0.0084,0.004570,1.0000,0.000335,8.78,1.19
giiif-il,GIII BL145 AIRFOIL,1000000,0.1074,6.071,1.0510,9.75,0.00452,-0.0149,0.004450,1.0000,0.000386,8.26,1.30
giiig-il,GIII BL167 AIRFOIL,1000000,0.1091,6.088,1.0899,10.50,0.00450,-0.0150,0.004420,0.7500,0.000414,8.29,1.30
giiih-il,GIII BL207 AIRFOIL,1000000,0.1138,6.096,1.1607,11.25,0.00448,-0.0156,0.004390,0.7500,0.000240,8.32,1.30
giiii-il,GIII BL288 AIRFOIL,1000000,0.1261,6.111,1.3329,13.00,0.00444,-0.0165,0.004390,0.2500,0.000151,8.45,1.33
giiij-il,GIII BL332 AIRFOIL,1000000,0.1343,6.118,1.3851,14.75,0.00469,-0.0179,0.004460,0.7500,0.000155,8.49,1.39
giiik-il,GIII BL369 AIRFOIL,1000000,0.1419,6.131,1.4578,15.25,0.00711,-0.0194,0.004650,0.7500,0.000138,8.53,1.50
giiil-il,GIII BL387 AIRFOIL,1000000,0.1454,6.145,1.4900,15.50,0.00723,-0.0186,0.004920,1.0000,0.000137,8.55,1.58
giiim-il,GIII BL430 AIRFOIL,1000000,0.1498,6.195,1.5403,15.00,0.00820,-0.0145,0.005910,2.7500,0.000171,8.51,1.86
giiin-il,GIII BL450 AIRFOIL,1000000,0.1445,6.242,1.6061,16.25,0.00886,-0.0104,0.007340,3.7500,0.000154,8.42,2.08
glennmartin2-il,Glenn Martin 2,1000000,0.5253,6.168,1.4033,12.50,0.01000,-0.0610,0.009190,-3.2500,0.000075,13.47,7.67
glennmartin3-il,Glenn Martin 3,1000000,0.4476,6.623,1.6737,14.50,0.00994,-0.0355,0.008850,-1.5000,0.000079,13.77,6.89
glennmartin4-il,Glenn Martin 4,1000000,0.3585,7.154,1.4199,10.50,0.01128,-0.0425,0.010730,1.7500,0.000143,15.49,7.67
gm15sm-il,GM15 (smoothed),1000000,0.5744,5.628,1.4945,12.25,0.00571,-0.1360,0.005500,-0.7500,0.000170,6.74,4.76
goe05k-il,GOE 5K AIRFOIL,1000000,0.2114,4.392,0.7204,7.00,0.00395,-0.0557,0.003500,0.7500,0.001235,3.70,1.53
goe06k-il,GOE 6K AIRFOIL,1000000,0.3982,5.328,1.1287,9.75,0.00449,-0.1116,0.004370,-0.2500,0.000305,7.50,3.10
goe07k-il,GOE 7K AIRFOIL,1000000,0.5635,4.503,1.3406,15.25,0.00565,-0.1185,0.005510,0.2500,0.000184,11.00,4.54
goe08k-il,GOE 8K AIRFOIL,1000000,0.5984,5.894,1.4016,18.50,0.00890,-0.1277,0.007590,1.7500,0.000296,14.85,6.13
goe09k-il,GOE 9K AIRFOIL,1000000,0.0655,5.546,0.7412,7.75,0.00354,-0.0219,0.003300,0.7500,0.001721,2.45,0.90
goe100-il,GOE 100 (SOPWITH) AIRFOIL,1000000,0.3655,5.884,1.1837,11.00,0.00645,-0.0722,0.005610,1.0000,0.000361,6.57,3.59
goe101-il,GOE 101 AIRFOIL,1000000,0.3637,6.007,1.3595,11.75,0.00815,-0.0651,0.005890,2.2500,0.000302,6.90,3.96
goe10k-il,GOE 10K AIRFOIL,1000000,0.1836,5.594,2.1728,3.75,0.00390,-0.0554,0.003460,0.7500,0.001226,3.85,1.42
goe113-il,GOE 113 AIRFOIL,1000000,0.2906,6.054,1.1777,9.00,0.00779,-0.0557,0.005540,2.0000,0.000394,6.65,3.09
goe114-il,GOE 114 (MVA MK.1) AIRFOIL,1000000,0.3592,5.120,0.9924,8.25,0.00637,-0.0955,0.006290,-1.7500,0.000396,9.55,3.50
goe115-il,GOE 115 (MVA MK.2) AIRFOIL,1000000,0.3846,5.825,1.3014,12.25,0.00708,-0.0879,0.006100,3.5000,0.000329,9.71,3.73
goe116-il,GOE 116 (MVA MK.3) AIRFOIL,1000000,0.4058,5.923,1.2977,10.25,0.00776,-0.0938,0.007610,2.2500,0.000606,9.32,4.08
goe117-il,GOE 117 (MVA MK.4) AIRFOIL,1000000,0.4573,5.682,1.3301,12.25,0.00729,-0.1021,0.006040,2.0000,0.000296,9.00,4.57
goe118-il,GOE 118 (MVA MK.7) AIRFOIL,1000000,0.6097,5.122,1.3651,8.75,0.00759,-0.1206,0.006070,2.0000,0.000682,8.64,5.73
goe11k-il,GOE 11K AIRFOIL,1000000,0.3536,5.740,1.3160,13.00,0.00501,-0.0878,0.004330,0.2500,0.000177,7.45,2.74
goe121-il,GOE 121 (MVA H.1) AIRFOIL,1000000,0.4959,6.041,1.5664,13.00,0.00758,-0.1060,0.007320,-0.5000,0.000137,6.65,4.60
goe122-il,GOE 122 (MVA H.2) AIRFOIL,1000000,0.3416,6.226,1.5268,12.50,0.00839,-0.0565,0.006510,2.7500,0.000223,7.30,4.06
goe123-il,GOE 123 AIRFOIL,1000000,0.5299,6.196,1.6142,14.50,0.01146,-0.1081,0.007540,1.7500,0.000230,5.40,5.70
goe124-il,GOE 124 (MVA H.4) AIRFOIL,1000000,0.5513,6.524,1.7104,13.75,0.01070,-0.1081,0.007210,3.5000,0.000314,7.92,5.56
goe12k-il,GOE 12K AIRFOIL,1000000,0.5164,4.454,1.4909,17.50,0.00747,-0.1234,0.005820,1.0000,0.000175,11.10,4.08
goe133-il,GOE 133 (MVA H.11) AIRFOIL,1000000,0.4059,6.204,1.6285,14.25,0.00786,-0.0748,0.005850,1.2500,0.000142,7.90,4.32
goe134-il,GOE 134 (MVA H.12) AIRFOIL,1000000,0.3291,6.717,1.5421,13.75,0.02142,0.2505,0.007080,3.2500,0.000244,9.45,4.10
goe137-il,GOE 137 (MVA H.15) AIRFOIL,1000000,0.4205,6.233,1.4638,11.50,0.00787,-0.0779,0.006130,2.2500,0.000250,8.59,4.42
goe13k-il,GOE 13K AIRFOIL,1000000,0.5162,5.279,1.5499,19.25,0.00892,-0.1203,0.007430,2.0000,0.000283,14.80,5.45
goe14-il,GOE 14 AIRFOIL,1000000,0.6280,6.367,1.9488,15.75,0.02051,-0.1037,0.009780,2.0000,0.000142,9.90,6.93
goe140-il,GOE 140 (MVA H.17) AIRFOIL,1000000,0.5187,6.356,1.5154,11.25,0.01003,-0.0940,0.008410,4.0000,0.000388,8.78,5.29
goe142-il,GOE 142 (MVA H.19) AIRFOIL,1000000,0.3953,6.183,1.5586,12.75,0.00691,-0.0749,0.005220,1.2500,0.000180,6.16,3.85
goe143-il,GOE 143 (MVA H.20) AIRFOIL,1000000,0.3818,6.258,1.5576,13.50,0.00801,-0.0714,0.006450,2.2500,0.000211,7.44,3.79
goe144-il,GOE 144 (MVA H.21) AIRFOIL,1000000,0.4783,5.790,1.4076,11.75,0.00739,-0.0972,0.006790,-2.5000,0.000096,7.31,4.72
goe147-il,GOE 147 (MVA H.6) AIRFOIL,1000000,0.3031,6.394,1.5101,12.25,0.00815,-0.0487,0.007610,3.7500,0.000182,7.55,3.76
goe14k-il,GOE 14K AIRFOIL,1000000,0.4084,5.275,1.3376,16.00,0.00642,-0.1178,0.005570,-1.0000,0.000130,12.00,2.70
goe15-il,GOE 15 AIRFOIL,1000000,0.6782,5.579,1.7396,13.00,0.02124,-0.1126,0.011470,6.5000,0.000267,9.00,7.75
goe155-il,GOE 155 (SSW D.1) AIRFOIL,1000000,0.4609,6.269,1.5268,12.50,0.00857,-0.0857,0.006990,3.5000,0.000344,7.02,5.28
goe15k-il,GOE 15K AIRFOIL,1000000,0.4926,4.747,1.3963,18.50,0.00737,-0.1316,0.006670,-0.7500,0.000157,15.00,3.38
goe164-il,GOE 164 (MVA MK.10) AIRFOIL,1000000,0.7006,5.905,1.6997,13.00,0.00827,-0.1483,0.007370,-2.0000,0.000095,8.87,6.64
goe165-il,GOE 165 (MVA MK.11) AIRFOIL,1000000,0.6820,5.889,1.5666,11.00,0.00893,-0.1552,0.007650,-1.5000,0.000152,12.11,5.74
goe167-il,GOE 167 (V.KARMAN PROP.2) AIRFOIL,1000000,0.4206,6.447,1.4952,11.25,0.00977,-0.0755,0.006900,2.2500,0.000265,10.09,4.54
goe16k-il,GOE 16K AIRFOIL,1000000,0.5355,4.718,1.3976,19.25,0.00899,-0.1400,0.008720,-0.2500,0.000210,18.15,4.08
goe173-il,GOE 173 (ALBATROS 6020) AIRFOIL,1000000,0.5813,6.112,1.5523,12.00,0.00880,-0.1099,0.007770,2.7500,0.000309,7.76,5.91
goe174-il,GOE 174 (ALBATROS 5020) AIRFOIL,1000000,0.5602,6.165,1.6249,12.25,0.00874,-0.1064,0.007470,2.7500,0.000229,8.59,5.57
goe176-il,GOE 176 (ALBATROS 7020) AIRFOIL,1000000,0.5999,6.042,1.6177,11.50,0.00903,-0.1231,0.007710,-2.0000,0.000094,10.34,5.55
goe177-il,GOE 177 AIRFOIL,1000000,0.4506,6.101,1.4098,12.25,0.00812,-0.0863,0.006860,1.7500,0.000285,7.70,5.06
goe178-il,GOE 178 AIRFOIL,1000000,0.4250,6.321,1.4908,13.50,0.00853,-0.0852,0.006860,2.7500,0.000273,8.50,4.40
goe180-il,GOE 180 (MVA H.26) AIRFOIL,1000000,0.4658,6.152,1.5834,13.00,0.00825,-0.0924,0.006240,1.5000,0.000170,8.67,4.44
goe182-il,GOE 182 (MVA H.27) AIRFOIL,1000000,0.5087,6.319,1.7097,13.25,0.00886,-0.0941,0.007960,2.5000,0.000150,9.45,5.26
goe184-il,GOE 184 (MVA H.29) AIRFOIL,1000000,0.5040,6.264,1.6369,13.25,0.00806,-0.0966,0.007650,4.0000,0.000170,8.30,5.29
goe187-il,GOE 187 (SCHTTE-LANZ 2U10) AIRFOIL,1000000,0.4064,6.186,1.4730,12.25,0.00899,-0.0636,0.006460,1.7500,0.000204,8.28,4.84
goe188-il,GOE 188 (SCHTTE-LANZ 3U10) AIRFOIL,1000000,0.3391,6.315,1.4655,11.75,0.00899,-0.0550,0.005790,1.7500,0.000209,8.94,4.39
goe190-il,GOE 190 (MVA MK.18) AIRFOIL,1000000,0.6384,5.888,1.7193,14.50,0.00811,-0.1443,0.007390,-2.2500,0.000056,12.65,5.92
goe195-il,GOE 195 AIRFOIL,1000000,0.5753,6.076,1.7015,13.50,0.00773,-0.1299,0.006890,3.2500,0.000217,8.60,5.10
goe198-il,GOE 198 (L.F.G. 5294) AIRFOIL,1000000,0.6700,6.321,1.8012,14.25,0.00990,-0.1411,0.009170,1.5000,0.000195,7.77,6.52
