Alpha(deg),Beta(deg),Fx,Fy,Fz,Mx,My,Mz
-90.0,60.0,75.47270916035585,-124.87168188330752,593.6564684280016,282.33501054983145,-217.87835798806012,-87.29161515167947
-90.0,61.0,73.53465369432627,-126.26098231494056,574.3413891645968,278.67511616473377,-211.3625368749186,-86.88130818818286
-90.0,62.0,71.52728122802496,-127.34402808298891,554.3710378400009,274.55598451048365,-204.520467087814,-86.17670664042814
-90.0,63.0,69.46358242393683,-128.11626750308417,533.8665247523514,269.7817860832397,-197.35308320221824,-85.15841426797286
-90.0,64.0,67.3508751172499,-128.59324840373606,512.9227378604149,264.2107155906431,-189.8615497935357,-83.80991041837245
-90.0,65.0,65.1889315945223,-128.80746366700555,491.5958005595829,257.7803012462076,-182.04629926153157,-82.12451914616685
-90.0,66.0,62.97138386753286,-128.8010017744115,469.9090705021064,250.48671396650508,-173.90967562836275,-80.10588626298622
-90.0,67.0,60.68851286437455,-128.61723631892733,447.8651069501879,242.357358659786,-165.45938734703597,-77.7659783904844
-90.0,68.0,58.33037365735149,-128.2932995991397,425.4577872972435,233.43224732293345,-156.71152870717762,-75.12270283895631
-90.0,69.0,55.89010353087208,-127.85411731900705,402.68488236904943,223.7511203572905,-147.69341413323156,-72.19773130410097
-90.0,70.0,53.366890159452254,-127.30926346435308,379.5590990394817,213.34542752853676,-138.44568965779018,-69.01529467510184
-90.0,71.0,50.76681686162947,-126.65538277451496,356.10737099301,202.2445703923538,-129.02047379206712,-65.60302309837797
-90.0,72.0,48.10199403110721,-125.88257541117004,332.36280098219527,190.49042785398743,-119.4770563047677,-61.993577790658335
-90.0,73.0,45.38939767797645,-124.98077015853237,308.3600474860689,178.14756579083934,-109.87875114815076,-58.224621336498814
-90.0,74.0,42.64957624949656,-123.94432525743454,284.1357218798784,165.30711956903772,-100.29145009091118,-54.33614857473235
-90.0,75.0,39.90524062368029,-122.7749254062799,259.73308911048264,152.08521079164444,-90.78370094545576,-50.36595310607571
-90.0,76.0,37.17978320156469,-121.48340384856908,235.20959666785583,138.6176132864057,-81.42788822808669,-46.34520590133936
-90.0,77.0,34.49577760821725,-120.090478459584,210.64570417834685,125.05198966054832,-72.30202096944012,-42.29595831998852
