Alpha(deg),Beta(deg),Fx,Fy,Fz,Mx,My,Mz
-90.0,34.0,112.8035168118192,-59.78363850059718,851.7697667909706,294.2431054747962,-283.17598940722684,-44.23161065817804
-90.0,35.0,112.10561931663013,-62.31979092989959,849.5059411464579,300.32539743378453,-284.58827586386434,-45.79555922704879
-90.0,36.0,111.22134384284766,-64.92992921284724,846.401623189277,305.91702024658554,-285.6586747873277,-47.38072972451871
-90.0,37.0,110.12080939463873,-67.60669785213686,842.3573675054623,310.8631470729787,-286.34827504046126,-49.0068977069278
-90.0,38.0,108.78591538538328,-70.33697548297225,837.3126326306873,315.0567634155933,-286.6330827385563,-50.693348479663456
-90.0,39.0,107.22371184124648,-73.10920962854556,831.2654564352965,318.4632447287232,-286.50838166607343,-52.45518493393355
-90.0,40.0,105.46900590857904,-75.91412316483971,824.2787376072772,321.11933334715513,-285.9883730691258,-54.30223885271587
-90.0,41.0,103.5775794904912,-78.74081494968601,816.4744349267427,323.10850926458073,-285.1016138948775,-56.24032318273933
-90.0,42.0,101.61863330414604,-81.5721510504634,808.0250622382888,324.52828368571903,-283.8861505311913,-58.271185521577166
-90.0,43.0,99.66651273540458,-84.38605211329124,799.1343352425706,325.45849698201965,-282.3842302562485,-60.391051890176485
-90.0,44.0,97.79154874208172,-87.16133195314607,790.0077173921547,325.93874680280254,-280.6364055245493,-62.58919359450882
-90.0,45.0,96.05041410351004,-89.8827668725028,780.8194788185541,325.9621130889203,-278.675176003542,-64.84823896512462
-90.0,46.0,94.47593444450676,-92.5442688008911,771.6775649744261,325.4885370128497,-276.5182157665081,-67.14690562201558
-90.0,47.0,93.0707890898858,-95.14853581467648,762.5992824210077,324.46893822555586,-274.1642821651446,-69.46289435165406
-90.0,48.0,91.8125636520443,-97.7014760238418,753.5188539349266,322.8638590536076,-271.5968536536832,-71.77182831446731
-90.0,49.0,90.66268809209294,-100.20788392807938,744.3080297824049,320.659476146165,-268.79057451088204,-74.04563101764603
-90.0,50.0,89.57482093520039,-102.67189484378008,734.7978906582462,317.88294290738605,-265.7173122598109,-76.25236357012447
-90.0,51.0,88.50284346975194,-105.10046319522854,724.8009316344217,314.61611853699753,-262.351352705021,-78.35748459068796
-90.0,52.0,87.4074757857542,-107.50537427154262,714.1325858859005,310.9988893932047,-258.6733684600111,-80.32550807135524
-90.0,53.0,86.25776822497821,-109.89807015290452,702.6318843771897,307.1959656069457,-254.6732017542098,-82.11893725658179
-90.0,54.0,85.02996859159772,-112.28133357506752,690.1763997071018,303.3539987084696,-250.350123209941,-83.69802906171073
-90.0,55.0,83.70682329272928,-114.64415839795711,676.6877909151807,299.5792572521588,-245.70987393060108,-85.02483052127684
-90.0,56.0,82.27729900302566,-116.96080188767156,662.1295650378356,295.9336901871994,-240.75979461632735,-86.06979388457057
-90.0,57.0,80.73635023678304,-119.19244957085176,646.501570600854,292.43685420361675,-235.50432018070453,-86.81697545675232
-90.0,58.0,79.08444639309502,-121.2903845251038,629.8353203597508,289.06382607953645,-229.9427572582072,-87.2644597318023
-90.0,59.0,77.32682914941253,-123.20081398341904,612.1912400668317,285.739359552408,-224.0698471674434,-87.41970202548369
-90.0,60.0,75.47270916035585,-124.87168188330752,593.6564684280016,282.33501054983145,-217.87835798806012,-87.29161515167947
-90.0,61.0,73.53465369432627,-126.26098231494056,574.3413891645968,278.67511616473377,-211.3625368749186,-86.88130818818286
-90.0,62.0,71.52728122802496,-127.34402808298891,554.3710378400009,274.55598451048365,-204.520467087814,-86.17670664042814
-90.0,63.0,69.46358242393683,-128.11626750308417,533.8665247523514,269.7817860832397,-197.35308320221824,-85.15841426797286
-90.0,64.0,67.3508751172499,-128.59324840373606,512.9227378604149,264.2107155906431,-189.8615497935357,-83.80991041837245
-90.0,65.0,65.1889315945223,-128.80746366700555,491.5958005595829,257.7803012462076,-182.04629926153157,-82.12451914616685
-90.0,66.0,62.97138386753286,-128.8010017744115,469.9090705021064,250.48671396650508,-173.90967562836275,-80.10588626298622
-90.0,67.0,60.68851286437455,-128.61723631892733,447.8651069501879,242.357358659786,-165.45938734703597,-77.7659783904844
